Year,Units,Value
1990,1990 = 100,100.0
1991,1990 = 100,96.321
1992,1990 = 100,92.356
1993,1990 = 100,91.622
1994,1990 = 100,90.173
1995,1990 = 100,89.601
1996,1990 = 100,90.981
1997,1990 = 100,88.122
1998,1990 = 100,86.166
1999,1990 = 100,83.428
2000,1990 = 100,83.191
2001,1990 = 100,84.363
2002,1990 = 100,82.625
2003,1990 = 100,81.935
2004,1990 = 100,80.056
2005,1990 = 100,78.96
2006,1990 = 100,80.038
2007,1990 = 100,76.819
2008,1990 = 100,77.447
2009,1990 = 100,71.946
2010,1990 = 100,74.194
2011,1990 = 100,72.307
2012,1990 = 100,73.121
2013,1990 = 100,74.479
2014,1990 = 100,71.233
2015,1990 = 100,71.913
2016,1990 = 100,71.539
2017,1990 = 100,70.35
2018,1990 = 100,68.1
2019,1990 = 100,63.707
2020,1990 = 100,58.51
2021,1990 = 100,60.736
2022,1990 = 100,59.966
2023,1990 = 100,53.888
2030,1990 = 100,
2040,1990 = 100,
2045,1990 = 100,
